term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome,variable
Beta,0.05842431273122717,0.074984292840293093,0.7791540137034225,0.4369294787613436,-0.00221229368090684,1e-6,NA,0.3987502298334983,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.0557884361399088,0.08326951599321765,0.6699743054163159,0.5037472841462298,-0.00310587744988878,1e-6,NA,0.39914189705966463,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.05048222303683225,0.09553500698060084,0.5284159663806073,0.5978725772523257,-0.00406577010274573,1e-6,NA,0.4010543172291534,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.01510535648811028,0.0775974732452682,0.19466299424938296,0.8458800369087933,-0.00543446546196222,1e-6,NA,0.5860572096999116,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.0183318018371521,0.08595255819486917,0.2132781411297936,0.8313554791229814,-0.00539134008802769,1e-6,NA,0.5866167971385652,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.02120721918982759,0.09866608619833256,0.21493929684408616,0.8300620952996265,-0.00538730062882396,1e-6,NA,0.5862505971498793,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.05886700799523847,0.07574545797600325,0.7771688173552004,0.4380966177929775,-0.00222972820753962,1e-6,NA,0.5199541423063997,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.05360466435237576,0.08450696585476049,0.6343224349635798,0.5266893918626008,-0.00336881105652258,1e-6,NA,0.5240856262871025,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.03703664863243894,0.097747080428012445,0.3789028630856677,0.7052141222248769,-0.00483468089196853,1e-6,NA,0.5350827772448074,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.08649207823315042,0.06892082029908239,-1.2549484735935734,0.21115190661756467,0.00321935325350974,1e-6,NA,0.4712880354137983,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.09324168918769882,0.0770973491002006,-1.209402012856707,0.22812134013878493,0.00259243724292804,1e-6,NA,0.4708536342454047,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.10112380689547162,0.08811302266900645,-1.1476601736310843,0.2526577035968003,0.00177842636337319,1e-6,NA,0.4697087265001463,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.0792848941157942,0.07111743976545648,1.1148446060104775,0.2664284478300878,0.00136262664517538,1e-6,NA,0.4800913653209672,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.09478817902883918,0.08074242639525556,1.1739575246949596,0.2419892003314048,0.00212008149032712,1e-6,NA,0.481048427098934,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.10938838822651498,0.09404611274477516,1.1631356685988297,0.24634014457202413,0.00197857513990258,1e-6,NA,0.4813160381229441,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.03806385922211675,0.0760115753180445,0.5007639831545592,0.6171593659197783,-0.00422697997950104,1e-6,NA,0.5486413628973454,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.04209571549190105,0.08538320860802244,0.493021007036105,0.6226088363765905,-0.00427057761888845,1e-6,NA,0.5476794561601404,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.04032482272721616,0.09885434431685874,0.40792160431475455,0.6838242278169975,-0.0047051809178679,1e-6,NA,0.5483313197523909,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.00729532049354375,0.07290773100625159,-0.10006237188917876,0.9204080532550748,-0.00559283346671394,1e-6,NA,0.5994163477660855,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.00410991716939257,0.08048397262194305,-0.05106503860958835,0.959331276641473,-0.00563490207935618,1e-6,NA,0.5976667346243898,amphibians,int,Deserts_and_xeric_shrublands,specialization
