term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome,variable
Beta,0.01521083582878058,0.05988105893034939,0.2540174823306491,0.7995943345961343,-0.00201149532725476,0.5253455648496455,0.31169100946142664,0.7057765241210209,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.02474986445000795,0.06838855222873053,0.36190069307550504,0.7175906406458117,-0.00186835093867441,0.5256039923791309,0.31209754815870644,0.7059547967874338,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.04813885077411349,0.08839110575900032,0.5446119308130932,0.5862815214167472,-0.00151171928090112,0.5257304687017688,0.31235827558728235,0.706052825089065,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,0.0421108574766395,0.06113249196810206,0.6888457532307412,0.491263884265563,-0.00112893728591332,0.5315050456173926,0.3205928998897102,0.7087653469751736,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.05971945677405603,0.07068970773927799,0.8448111993094795,0.39865070912318257,-6.147425636301301e-4,0.5319624483888135,0.3213284157866077,0.7091656691104735,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.10513708131333474,0.09281118547109904,1.13280614593673,0.25787942810108566,6.074628767276608e-4,0.5331234395471002,0.32262012485289815,0.710244800876101,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.0412643478957666,0.05807046689643486,-0.7105909440914097,0.4776939945715477,-0.00106349142227861,0.5338999842613105,0.3256299988865912,0.7075574537892669,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.04778614055104276,0.0686625022341434,-0.6959568759683277,0.4868035285537813,-0.00110775801630266,0.5347918229191759,0.3268474280304685,0.7080163334382692,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.05468562714982125,0.0917988592836005,-0.595711401825563,0.5516578696960219,-0.00138631389601396,0.5353923873329429,0.3277713592906274,0.7083596141719012,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,0.00761441424324819,0.05861491759905742,0.12990573995741042,0.8966971775897639,-0.00211416950764693,0.5732335860036413,0.3663718355942632,0.7372576856505382,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.01048180179843471,0.06922938386118112,0.1514068335412726,0.8797204619809178,-0.00210113506295803,0.573178109232698,0.36653970122372,0.7371845693314508,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.03315944671385088,0.09283872748706104,0.357172568080194,0.7211246592183806,-0.00187567413473884,0.5734434819264992,0.3673934268000135,0.7372105336800684,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.00250775586851796,0.05745710048670079,-0.04364570866395215,0.9652055516037916,-0.00214643217908297,0.5399749234286673,0.32843627640329015,0.7156799754392495,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.00822097775698747,0.06650573581224783,0.12361306369417666,0.9016750607614232,-0.00211760742589469,0.541012556619317,0.32990421070010484,0.7163148589539968,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.02851788713397966,0.08648394076742344,0.3297477760717596,0.7417390409052991,-0.00191625385592126,0.5416508979524217,0.33094864619379427,0.7166774152863963,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.00328250796305513,0.05921895910169463,-0.05543001790048686,0.9558196896038806,-0.00214391596981031,0.5544917967786059,0.33923422647191226,0.7270800161407055,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,9.593321694557967e-4,0.0696017959071005,0.01378315253152727,0.9890088951197112,-0.00215012820695749,0.5548326817725989,0.33973932602531387,0.7273083166327936,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.01709991494722412,0.09228808422734046,0.1852884377261594,0.8530835968705681,-0.0020765524796767,0.5557299158365163,0.340910967548428,0.7279603754751706,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,9.895907641892451e-4,0.05744788988155489,0.01722588534112509,0.9862638002302972,-0.00214989813103771,0.5194271088647032,0.3111218380867839,0.6969473828480718,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.01056000350578356,0.06645164760302517,0.1589125911349537,0.8738067348505298,-0.00209611581660752,0.5207041576827331,0.31259032171049544,0.697891323724695,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.03489296565711849,0.08621751585188889,0.4047085480525828,0.6858778569084991,-0.00179767000547258,0.5227552317689541,0.3148067471214426,0.6994040750440983,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,0.03527992124869725,0.05916649254588956,0.5962821139234192,0.5512769320086106,-0.00138485000844529,0.5650629416881695,0.3554467210737798,0.7330408003459116,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.05762041386284625,0.06815455383488586,0.8454374743973812,0.398301437563769,-6.124681857063364e-4,0.5662370684337146,0.35710278555223,0.7337700990720587,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.11190355510194416,0.08913938547901593,1.2553772330894866,0.2099723351463283,0.00123446562173769,0.5679487055274417,0.3591330388285396,0.7350094741093336,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.00727862021593867,0.06062142446544957,-0.1200667961883184,0.9044820930825964,-0.00211946969914475,0.5529192952321852,0.35084010705666385,0.7188334750301498,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,-3.016765968738358e-4,0.07030312317760302,-0.00429108385571614,0.9965780612175092,-0.00215049795054024,0.5537726800198391,0.3518392622786442,0.7194743578080758,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.02499276744903571,0.09371172781564072,0.2666983955114352,0.7898196173388361,-0.00199726861084353,0.5558117494310946,0.3540872941936467,0.7210031984657054,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,0.01821556321746861,0.05817547312634534,0.31311413966342994,0.7543343358143346,-0.00193928904676255,0.5624599427402687,0.3579001883932374,0.7285431288149188,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.02224847280997916,0.06709825745624602,0.3315804858939463,0.7403554447418637,-0.00191364297787757,0.5621304012353174,0.35755037218624636,0.7283567374963901,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.03172998648826908,0.08750514509033051,0.36260709533724667,0.7170631611069007,-0.00186724856188614,0.561679161146523,0.35700067630815174,0.728115100288801,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.00231077615462538,0.05895258812884791,-0.03919719605142535,0.9687499919377144,-0.00214722641027896,0.5141059092218647,0.30291912142697547,0.6935638314513213,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.00647821901002175,0.0684174798757568,0.09468660672368992,0.9246045439911104,-0.00213121578274921,0.515211315424312,0.304308176584351,0.6942729752461492,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.02265456292854548,0.09008450917264033,0.2514812273121196,0.8015531731886059,-0.00201425764516274,0.5163259670696607,0.30572616525229923,0.6949675138655659,Mammals,high,Deserts_and_xeric_shrublands,specialization
