biome,ext,mean_B,median_B,CI_lower_B,CI_upper_B,mean_p,median_p,CI_lower_p,CI_upper_p,prop_significant,mean_R,median_R,CI_lower_R,CI_upper_R,mean_lambda,median_lambda,CI_lower_lambda,CI_upper_lambda,class,variable
Deserts and xeric shrublands,low,0.007066169883692024,0.0051885985055495,-0.016088866107004156,0.04189684335672711,0.6712302022747554,0.7167045994155838,0.10674488156401307,0.9922236680840446,0,-0.0013269890618202557,-0.0018664978178651,-0.002150331484917698,0.003448356484669491,0.48549472017543005,0.4827223256018108,0.23353540343610812,0.6939871814490458,mammals,marginality
Deserts and xeric shrublands,int,0.007219514849688927,0.0046035601588154,-0.022510478996602065,0.049532149253755375,0.6578223232132485,0.7045238953800248,0.10100901036316189,0.9657718151700045,0,-0.001279828893092492,-0.00184032170776075,-0.00214626892427134,0.003652114284051662,0.4849395834115433,0.4831532311036186,0.23316263005338,0.6937121450619869,mammals,marginality
Deserts and xeric shrublands,high,0.01186487788911977,0.00677899260353861,-0.02929137523362759,0.068836568930517,0.6315914977956907,0.6674384640445914,0.09027282982565621,0.9786912115428374,0,-0.0010942314242273256,-0.00175231761765208,-0.002148956867077612,0.004101937889791022,0.4852408276567615,0.48382194400258727,0.23401909683394345,0.6938089233860993,mammals,marginality
Flooded grasslands and savannas,low,-0.005213478207832636,-0.00661691752598253,-0.0560908373093493,0.04454757815395555,0.6226374337788144,0.6379980537867969,0.20628311698943458,0.9644248611135777,0,-0.001838127927412334,-0.00245318282532651,-0.003148113122979952,0.0019182970357588083,0.20284505833956593,0.20132175991029683,0.04740878820647342,0.4408016321996596,mammals,marginality
Flooded grasslands and savannas,int,-0.0038306239663388475,-0.00521724532792425,-0.06739592806088324,0.06152995856801902,0.6103961106970027,0.6282086480373068,0.19307780817996534,0.9705301356708269,0,-0.001707695793860596,-0.00241160382754681,-0.0031494820986370294,0.002209636626182125,0.2031602170547642,0.2017151508216517,0.047721231103778405,0.44109102464901845,mammals,marginality
Flooded grasslands and savannas,high,-0.010057894978345359,-0.01154816755186127,-0.10805736083908124,0.093334407640911,0.5886899506836458,0.5841310433699805,0.12720101074797982,0.9754742148794864,0,-0.0014112889297644212,-0.00220542377300094,-0.0031515774588630908,0.0041987460465672125,0.2029680490509459,0.20172282263259303,0.04762448001535373,0.44080440144026123,mammals,marginality
Montane grasslands and shrublands,low,0.04469514475326472,0.04062981232007257,-0.08504971148787366,0.17233387561122848,0.57246920028033,0.5474814218516391,0.10101230560360702,0.9751304113624533,0.010309278350515464,-0.008893989772009116,-0.01458138233842781,-0.023232416619225673,0.04009318484751309,1e-6,1e-6,NA,0.27971852346547116,mammals,marginality
Montane grasslands and shrublands,int,0.023736523450435355,0.02072719125616595,-0.15453494439979637,0.2014264283665796,0.5783854314194616,0.5912632373312283,0.10478556483604297,0.9549420172591451,0.010309278350515464,-0.009526735742691068,-0.01633672823282177,-0.023177211640781292,0.038482628318143086,1e-6,1e-6,NA,0.2856447331751889,mammals,marginality
Montane grasslands and shrublands,high,0.0046663476869169915,0.00268953572313623,-0.2327993860450226,0.25644389446038707,0.5727862356717626,0.5734126840356404,0.09635810147108428,0.984042366040871,0.010309278350515464,-0.008675507035331768,-0.0156523656725826,-0.023245300230154337,0.041289644718279374,1e-6,1e-6,NA,0.29068730777655294,mammals,marginality
Temperate broadleaf & mixed forests,low,-0.04936558593518127,-0.05039664660825352,-0.09632822317987262,0.009916320283819018,0.26164381615837373,0.1985186537490331,0.0186758925984028,0.7570142539305138,0.10204081632653061,0.0021102062593149813,0.00147814857152156,-0.0020269754588444927,0.010148417784964335,0.7564279667657354,0.7552742154114611,0.6052251769749846,0.8516215562691057,mammals,marginality
