tree_id,K,K_pval,lambda,lambda_pval,class
1,0.013686383694025242,0.004,0.7018860782713213,3.3479337769340718e-49,Mammals
2,0.013260953636385736,0.027000000000000017,0.6755878099093575,4.940373384170425e-49,Mammals
3,0.010757281069166518,0.1210000000000001,0.6773115564589948,2.314015014254119e-48,Mammals
4,0.011893901887190358,0.03400000000000002,0.6269608486003244,6.949608036385366e-48,Mammals
5,0.01398500711285139,0.001,0.6987703801691848,1.6597257416561315e-49,Mammals
6,0.01655159065670817,0.002,0.6969982559612231,3.9530715464440875e-50,Mammals
7,0.013874003844664987,0.001,0.7196212728467244,6.272195259126966e-50,Mammals
8,0.012937017707972119,0.1530000000000001,0.682913509429549,4.4235518528323595e-50,Mammals
9,0.015486991659413024,0.002,0.6840792433812062,4.6385191106638745e-51,Mammals
10,0.01521032917783884,0.001,0.6990000597440821,1.832625999437087e-49,Mammals
11,0.012745729947874108,0.046000000000000034,0.673584505326916,2.0291358130688726e-49,Mammals
12,0.011184293491222312,0.17100000000000012,0.676997346855089,1.432982562693586e-48,Mammals
13,0.014620632828195977,0.002,0.6631900697623019,1.6879747333276497e-48,Mammals
14,0.013657210470254855,0.01900000000000001,0.6858203899043113,1.7443563113183536e-49,Mammals
15,0.013797540067501354,0.001,0.7035836401708073,6.712385846572471e-49,Mammals
16,0.015048986247492714,0.002,0.6823604832453127,3.08899612510426e-48,Mammals
17,0.01226085445767319,0.3860000000000003,0.6290200234289534,2.5301124154093896e-49,Mammals
18,0.013078132163920503,0.001,0.7201628547222958,9.419418434001485e-50,Mammals
19,0.01582230389778842,0.001,0.6806998977009916,1.6017835116705155e-48,Mammals
20,0.01517005648174934,0.022000000000000013,0.6441519527231935,1.9638034818977648e-50,Mammals
21,0.01567368550119052,0.001,0.6884339514006591,2.488841060718853e-50,Mammals
22,0.015543559884322159,0.002,0.7057825200168751,2.8611183356737347e-50,Mammals
23,0.014926336663551797,0.001,0.7194292221051877,1.434705039767167e-49,Mammals
