biome,mean_B,median_B,CI_lower_B,CI_upper_B,mean_p,median_p,CI_lower_p,CI_upper_p,prop_significant,mean_R,median_R,CI_lower_R,CI_upper_R,mean_lambda,median_lambda,CI_lower_lambda,CI_upper_lambda,class,variable
Deserts and xeric shrublands,-0.03453048749623675,-0.03670682474830882,-0.14826248124943453,0.07629522292558752,0.5891163083661939,0.5784941550682592,0.10794162034131874,0.9600895941580309,0.02040816326530612,-0.0011911104100583213,-0.001788193324584865,-0.002583844822001256,0.004308182199931948,0.45273086608596413,0.4524997153861986,0.21086417992277462,0.6860914643148096,mammals,specialization_3th
Flooded grasslands and savannas,-0.06979578168982181,-0.07875625997680058,-0.17453136819241333,0.06498377772546983,0.4101856745332011,0.3657987133192717,0.04956547568341792,0.9107781074211783,0.031914893617021274,7.308083500887028e-4,-7.234693840572706e-4,-0.0040465136904055225,0.011725337089581166,0.34512903864550787,0.3419599245728804,0.12655865974306485,0.6217338717073987,mammals,specialization_3th
Mangroves,-0.039313607622310676,-0.03713733804535347,-0.10491760945565046,0.02999251066402317,0.550828013718594,0.5934830251744694,0.12502887909194996,0.9529527293881854,0,-9.746263466982665e-4,-0.00179419562262731,-0.0025033204430575107,0.003404862411444585,0.3411437855198252,0.34271892332566645,0.1762040606010047,0.5509642693856797,mammals,specialization_3th
Mediterranean forests woodlands and scrub,-0.2292755783366309,-0.27487674087016956,-0.6181423412043485,0.24809921561224715,0.40050202895021464,0.3131936846883212,0.03151622857063527,0.9428763368879172,0.07368421052631578,0.015590326216474446,0.00228183947777281,-0.03972155820596942,0.13959965068114732,0.04110924084807747,1e-6,NA,0.8824760325161376,mammals,specialization_3th
Montane grasslands and shrublands,-0.00349283121021165,-0.009848764969607874,-0.08894009360589085,0.0821845847686073,0.5962557162396707,0.6103376014250709,0.13317572112109688,0.9335344940730792,0,-0.0013884809420059538,-0.001981680869841245,-0.002662002597383196,0.0033996224423604327,0.4823500057425737,0.4822190836039241,0.25769852711585084,0.6845080551589484,mammals,specialization_3th
Temperate broadleaf & mixed forests,-0.07283268459496231,-0.07656680270894287,-0.18592231706697476,0.028347747375437056,0.5212582630066246,0.4599313876907837,0.09477264338181646,0.9796002025379015,0.01020408163265306,-0.004572031623102316,-0.007756743037979595,-0.0175320690926693,0.03150340694153181,0.4119072754789698,0.40878598921811393,NA,0.7753382000273322,mammals,specialization_3th
Temperate grasslands savannas and shrublands,0.039757032652378656,0.04938742607983038,-0.22113450494768044,0.22857652781534746,0.6826765998009922,0.7057495594929295,0.28226634131075123,0.9643865634585648,0,-0.0062380245176071126,-0.00731362874623573,-0.008529671012168028,0.0014170445732443544,1e-6,1e-6,NA,0.2579312191761927,mammals,specialization_3th
Tropical & subtropical coniferous forests,-0.09191702022866656,-0.0919704809657346,-0.19999377888227352,-0.005697094970206627,0.3727878169981183,0.3038092154449682,0.029555365634534266,0.9117006932191345,0.08163265306122448,0.0018487700193983445,2.7823454855174735e-4,-0.004426398541844894,0.016681001760782094,0.1953252348586029,0.19540609088418381,0.03569538741918969,0.4737628850649738,mammals,specialization_3th
Tropical & subtropical dry broadleaf forests,-0.0588396490112813,-0.05740265470053068,-0.14266087742959216,0.058601204057858666,0.42072809755933094,0.367098288460272,0.04103710720255302,0.9796254459425281,0.06315789473684211,6.000476654074433e-4,-3.189717111246699e-4,-0.0017225252023474833,0.005474091655819551,0.5882105291536417,0.5896418182970242,0.39035474345838866,0.7385863054641296,mammals,specialization_3th
Tropical & subtropical grasslands savannas and shrublands,-0.05726216202606749,-0.0585140299341864,-0.1552067203363264,0.03901600530020566,0.447252380441733,0.41833261880448225,0.03147990493645869,0.9481576801980462,0.05154639175257732,1.6419830480445872e-4,-7.16914519843747e-4,-0.00207876610405193,0.007558318266271168,0.5090864395227593,0.5088438048539834,0.3169308863735142,0.6832155935109683,mammals,specialization_3th
