term,Estimate,Std. Error,t value,Pr(>|t|),adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
(Intercept),1.125148725487895,0.15097759629768845,7.452421770375752,1.596500709410975e-13,-3.1488564679241015e-4,0.7444282752831372,0.6702680278237036,0.8037835760896023,amphibians,high,neo_marginality
log(high.age + 1),-0.00751386796484629,0.0100556129101557,-0.7472312261799217,0.4550492967753747,-3.1488564679241015e-4,0.7444282752831372,0.6702680278237036,0.8037835760896023,amphibians,high,neo_marginality
(Intercept),2.179352775648123,0.3024611639671389,7.205397040278864,9.419132140919828e-13,-3.698409174763406e-4,0.45030096884521525,0.3220192714193432,0.5733667767698508,amphibians,high,neo_specialization
log(high.age + 1),-0.02260492291806945,0.03258313226953442,-0.6937615061399515,0.48794671172146376,-3.698409174763406e-4,0.45030096884521525,0.3220192714193432,0.5733667767698508,amphibians,high,neo_specialization
(Intercept),1.1475208607725622,0.14987379722374042,7.656580950300976,3.5527136788005016e-14,9.800057200782348e-4,0.755519858503006,0.6823082465297102,0.8139276435667248,amphibians,high,neo_marginality
log(high.age + 1),-0.01478046157487134,0.00958821259274029,-1.5415241821048444,0.12341492628051398,9.800057200782348e-4,0.755519858503006,0.6823082465297102,0.8139276435667248,amphibians,high,neo_marginality
(Intercept),2.2383738383561513,0.3012959421107495,7.429153617785454,1.891820033961267e-13,0.0016527469801154,0.46269798012260266,0.3329106462100195,0.5859357081666352,amphibians,high,neo_specialization
log(high.age + 1),-0.05640565837334279,0.03094431320822703,-1.822811771383779,0.06854479637889899,0.0016527469801154,0.46269798012260266,0.3329106462100195,0.5859357081666352,amphibians,high,neo_specialization
(Intercept),1.133026204776865,0.15266262798590602,7.421765364090728,1.9961809982760317e-13,-1.6849762695295874e-4,0.7594674998040379,0.6904898405558632,0.8145994225078386,amphibians,high,neo_marginality
log(high.age + 1),-0.00858102223740349,0.00981963532425158,-0.8738636368919848,0.38234217529723535,-1.6849762695295874e-4,0.7594674998040379,0.6904898405558632,0.8145994225078386,amphibians,high,neo_marginality
(Intercept),2.1739001853997224,0.2885021607145408,7.535126184204538,8.704148513061227e-14,-6.278762685468363e-4,0.424367134319708,0.30098724755802064,0.5459182251085279,amphibians,high,neo_specialization
