term,Estimate,Std..Error,t.value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
(Intercept),1.2467310802241536,0.17055205494561368,7.309973958517921,4.46975789714088e-13,-4.8556659044073476e-4,0.7316042109306455,0.6530063118188101,0.7942877379322806,Amphibians,low,neo_marginality
log(low.age + 1),-0.005311555118645101,0.009417443039637412,-0.5640124496945834,0.5728357388542822,-4.8556659044073476e-4,0.7316042109306455,0.6530063118188101,0.7942877379322806,Amphibians,low,neo_marginality
(Intercept),1.24420301625681,0.17069540785451368,7.289024537304855,5.191402863147232e-13,-5.814029534072849e-4,0.7318173131393312,0.6532721019311354,0.7944527427169298,Amphibians,int,neo_marginality
log(int.age + 1),-0.004424377732583832,0.010325514790946299,-0.42848979660203,0.6683602878528825,-5.814029534072849e-4,0.7318173131393312,0.6532721019311354,0.7944527427169298,Amphibians,int,neo_marginality
(Intercept),1.241830269982881,0.17088127472118753,7.267210945196131,6.066258606551855e-13,-6.478822319586007e-4,0.7319756807911605,0.6534669828841967,0.7945766660348665,Amphibians,high,neo_marginality
log(high.age + 1),-0.0034988901813422174,0.011642621266261598,-0.3005242635076884,0.763821784621006,-6.478822319586007e-4,0.7319756807911605,0.6534669828841967,0.7945766660348665,Amphibians,high,neo_marginality
(Intercept),2.5415976896782775,0.28544104501491196,8.904107289634887,0,-4.0471887525279373e-4,0.3783702043102872,0.25850236340261995,0.5021236367880478,Amphibians,low,neo_specialization
log(low.age + 1),-0.01825689784215971,0.027789853424548625,-0.6569627253244948,0.5113125552098428,-4.0471887525279373e-4,0.3783702043102872,0.25850236340261995,0.5021236367880478,Amphibians,low,neo_specialization
(Intercept),2.5308855630174287,0.2864231219723727,8.836177559930196,0,-5.653785155863204e-4,0.37925838204906015,0.2593519309561598,0.502943480261701,Amphibians,int,neo_specialization
log(int.age + 1),-0.013902510525588586,0.030624049576749905,-0.4539736160871264,0.649917982604431,-5.653785155863204e-4,0.37925838204906015,0.2593519309561598,0.502943480261701,Amphibians,int,neo_specialization
(Intercept),2.521660516083577,0.2875697898342045,8.768864481687785,0,-6.544481905420258e-4,0.37989032958068075,0.2599822621573541,0.5035058664962038,Amphibians,high,neo_specialization
