"dataset","column_name","description","units","data_type","notes"
"amphibians_enfa_whole_neotropics.csv","species_name","Species scientific name","none","character",NA
"amphibians_enfa_whole_neotropics.csv","marginality","ENFA marginality index","dimensionless index","numeric",NA
"amphibians_enfa_whole_neotropics.csv","specialization","ENFA specialization index (inverse niche breadth)","dimensionless index","numeric",NA
"aves_enfa_whole_neotropics.csv","species_name","Species scientific name","none","character",NA
"aves_enfa_whole_neotropics.csv","marginality","ENFA marginality index","dimensionless index","numeric",NA
"aves_enfa_whole_neotropics.csv","specialization","ENFA specialization index (inverse niche breadth)","dimensionless index","numeric",NA
"mammals_enfa_whole_neotropics.csv","species_name","Species scientific name","none","character",NA
"mammals_enfa_whole_neotropics.csv","marginality","ENFA marginality index","dimensionless index","numeric",NA
"mammals_enfa_whole_neotropics.csv","specialization","ENFA specialization index (inverse niche breadth)","dimensionless index","numeric",NA
"pgls_all_phylo_all_groups.csv","term","Regression model term (e.g., intercept, slope)","categorical","character",NA
"pgls_all_phylo_all_groups.csv","Estimate","Regression coefficient estimate","change in response per unit predictor","numeric",NA
"pgls_all_phylo_all_groups.csv","Std..Error","Standard error of estimate","same as estimate","numeric",NA
"pgls_all_phylo_all_groups.csv","t.value","t-statistic","dimensionless","numeric",NA
"pgls_all_phylo_all_groups.csv","p_value","P-value","probability (0–1)","numeric",NA
"pgls_all_phylo_all_groups.csv","adj.r.squared","Adjusted R-squared","proportion (0–1)","numeric",NA
"pgls_all_phylo_all_groups.csv","lambda","Pagel's lambda (phylogenetic signal)","proportion (0–1)","numeric",NA
"pgls_all_phylo_all_groups.csv","lam_low","Lower CI of lambda","proportion (0–1)","numeric",NA
"pgls_all_phylo_all_groups.csv","lam_up","Upper CI of lambda","proportion (0–1)","numeric",NA
"pgls_all_phylo_all_groups.csv","class","Taxonomic class","none","character",NA
"pgls_all_phylo_all_groups.csv","ext","Extinction scenario","categorical (low, intermediate, high)","character",NA
"pgls_all_phylo_all_groups.csv","biome","Biome classification","categorical","character",NA
"pgls_summary.csv","ext","Extinction scenario","categorical (low, intermediate, high)","character",NA
"pgls_summary.csv","mean_B","Mean regression coefficient estimate","change in response per unit predictor","numeric",NA
"pgls_summary.csv","median_B","Median regression coefficient estimate","change in response per unit predictor","numeric",NA
"pgls_summary.csv","CI_lower_B","Lower confidence interval of regression coefficient","change in response per unit predictor","numeric",NA
"pgls_summary.csv","CI_upper_B","Upper confidence interval of regression coefficient","change in response per unit predictor","numeric",NA
"pgls_summary.csv","mean_p","Mean P-value","probability (0–1)","numeric",NA
"pgls_summary.csv","median_p","Median P-value","probability (0–1)","numeric",NA
"pgls_summary.csv","CI_lower_p","Lower confidence interval of P-value","probability (0–1)","numeric",NA
"pgls_summary.csv","CI_upper_p","Upper confidence interval of P-value","probability (0–1)","numeric",NA
"pgls_summary.csv","prop_significant","Proportion of significant PGLS models","proportion (0–1)","numeric",NA
"pgls_summary.csv","mean_R","Mean adjusted R-squared","proportion (0–1)","numeric",NA
"pgls_summary.csv","median_R","Median adjusted R-squared","proportion (0–1)","numeric",NA
"pgls_summary.csv","CI_lower_R","Lower CI of adjusted R-squared","proportion (0–1)","numeric",NA
"pgls_summary.csv","CI_upper_R","Upper CI of adjusted R-squared","proportion (0–1)","numeric",NA
"pgls_summary.csv","mean_lambda","Mean Pagel's lambda","proportion (0–1)","numeric",NA
"pgls_summary.csv","median_lambda","Median Pagel's lambda","proportion (0–1)","numeric",NA
"pgls_summary.csv","CI_lower_lambda","Lower CI of Pagel's lambda","proportion (0–1)","numeric",NA
"pgls_summary.csv","CI_upper_lambda","Upper CI of Pagel's lambda","proportion (0–1)","numeric",NA
"pgls_summary.csv","class","Taxonomic class","none","character",NA
"pgls_summary.csv","enfa","ENFA metric analyzed","categorical","character",NA
"reptiles_enfa_whole_neotropics.csv","species_name","Species scientific name","none","character",NA
"reptiles_enfa_whole_neotropics.csv","marginality","ENFA marginality index","dimensionless index","numeric",NA
"reptiles_enfa_whole_neotropics.csv","specialization","ENFA specialization index (inverse niche breadth)","dimensionless index","numeric",NA
