tree_id,K,K_pval,lambda,lambda_pval,class
1,0.03767724841348251,0.09500000000000007,0.9970976614671887,1.8288378432627e-35,Mammals
2,0.03067874037191046,0.20300000000000015,0.9884882071835323,9.54849795682684e-47,Mammals
3,0.045783125908154136,0.03800000000000003,0.9887408254164752,1.0362117653496654e-176,Mammals
4,0.04278180392250994,0.06100000000000005,0.9920909008978561,2.2578222223498235e-96,Mammals
5,0.033729565830989225,0.1220000000000001,0.9202924871824673,6.173275485561509e-32,Mammals
6,0.02246199052542059,0.4050000000000003,0.7313925623326867,6.947529517445251e-20,Mammals
7,0.0032680286412048003,0.9280000000000007,0.6556223536507889,0.0014815131492934162,Mammals
8,0.033460077809478635,0.21000000000000016,0.9291904206336195,2.8332469695541315e-33,Mammals
9,0.01969348606377745,0.5220000000000004,0.0496999117723346,0.001389963236950636,Mammals
10,0.036799963328393186,0.12000000000000009,0.9930634315103194,3.2475874765040405e-79,Mammals
11,0.014961763265439134,0.6080000000000004,0.7146367477312334,7.597460020782238e-17,Mammals
12,0.039978767589938284,0.09000000000000007,0.9899294610169743,1.1806041510490275e-153,Mammals
13,0.039493058441500486,0.06900000000000005,0.9955899895258169,4.696389342351648e-39,Mammals
14,0.023496959534019632,0.4060000000000003,0.822868688496808,1.9651255998245087e-24,Mammals
15,0.01350992915816906,0.5930000000000004,0.9890333539083276,6.032237409630636e-156,Mammals
16,0.012113117761276104,0.7010000000000005,0.07117488177453729,0.0011185087451945637,Mammals
17,0.046847419231652865,0.07500000000000005,0.9898327862814761,1.5040019271211563e-109,Mammals
18,0.03414846345826201,0.06200000000000005,0.990118557851318,1.3642266789902432e-163,Mammals
19,0.03288375570812518,0.18300000000000013,0.9954198468734772,6.26962788914645e-36,Mammals
20,0.020604870800615006,0.5310000000000004,0.04296172798658628,0.0023015047929360313,Mammals
21,0.03314324762378722,0.1470000000000001,0.9898064724827687,7.663404033137741e-56,Mammals
22,0.019500333955117816,0.45200000000000035,0.8226998053596319,1.141968670969671e-32,Mammals
23,0.05108114823561424,0.026000000000000016,0.9883982187868771,1.282288163273419e-181,Mammals
24,0.032902218669034686,0.1470000000000001,0.9100162021235659,1.50987233341314e-45,Mammals
25,0.04962726330252736,0.026000000000000016,0.9837321004610315,8.455597530445781e-192,Mammals
26,0.020955483446051262,0.4240000000000003,0.8256326789577503,9.143446071111449e-33,Mammals
27,0.028296464430143838,0.2680000000000002,0.9933478100942007,3.2611840033403086e-60,Mammals
28,0.018282373899085366,0.44500000000000034,0.8274581666016011,5.723149439216983e-37,Mammals
29,0.012993431059569505,0.5790000000000004,0.07385233180826357,9.120661581187302e-4,Mammals
30,0.026138983992472477,0.2600000000000002,0.9853694918370456,3.837449757654196e-13,Mammals
31,0.037317533431984566,0.10700000000000008,0.9903114235360075,1.2183268003556093e-138,Mammals
32,0.026298064195569956,0.25100000000000017,0.059942438953246024,0.0020416078158465374,Mammals
33,5.499967541689742e-4,0.9980000000000008,0.6401555371018003,5.0157908087832223e-14,Mammals
34,0.021977619989304826,0.35900000000000026,0.06304360188880735,0.001679223532326172,Mammals
35,0.026880748902413768,0.2710000000000002,0.6369687230867239,1.7706934310227717e-11,Mammals
36,0.08682752776372842,0.006,0.9813246632471395,1.021773155726759e-250,Mammals
37,0.021143337841300704,0.46700000000000036,0.8208605674072796,1.516564283435833e-27,Mammals
38,0.04291865454043773,0.09300000000000007,0.9953373172468606,6.0113181032009126e-61,Mammals
39,0.024090808232794872,0.3770000000000003,0.735083129492174,3.464069412988579e-15,Mammals
40,0.027088818289023618,0.2580000000000002,0.7451087619861853,3.622754001246304e-19,Mammals
41,0.0051708812448755664,0.8940000000000007,0.0957734416457648,7.949989119041913e-4,Mammals
42,0.03989376552887633,0.08100000000000006,0.9908226669004395,5.690170233781962e-108,Mammals
43,0.0556257236150893,0.03800000000000003,0.9852503764394844,3.503684422541133e-190,Mammals
44,0.05489251021195427,0.04300000000000003,0.9870003537823822,6.931976841395952e-175,Mammals
45,0.03867778369746066,0.08900000000000007,0.9894932011924623,1.2416266647987722e-56,Mammals
46,0.01230797869583452,0.7460000000000006,0.7866904776314734,1.0962796817545319e-20,Mammals
47,0.016131328112392034,0.5080000000000003,0.989198008323634,2.6971671805855725e-140,Mammals
48,0.020064335231890464,0.3910000000000003,0.09337675925653305,8.798472532116595e-4,Mammals
49,0.02861583300440289,0.24000000000000019,0.8896085285878612,3.805229915624821e-23,Mammals
50,0.024019469908697376,0.32100000000000023,0.8663436375792709,4.102292435256278e-26,Mammals
51,0.013858304279827927,0.6530000000000005,0.7696021024118783,1.959489742138183e-5,Mammals
52,0.03430005300178721,0.10300000000000008,0.9928127920586873,1.1183302641140967e-103,Mammals
53,0.031913460635492295,0.1340000000000001,0.9106497215885047,1.1157835296724482e-44,Mammals
54,0.03586369659713861,0.17500000000000013,0.987429165147177,1.5699271544482153e-83,Mammals
55,0.0885995924254632,0.006,0.9833922875875776,4.2425640463145124e-224,Mammals
56,0.03759050233995674,0.08000000000000006,0.9893677336677632,3.723593337892955e-67,Mammals
57,0.01777614647610303,0.5080000000000003,0.9881546720777906,4.531825940963017e-48,Mammals
58,0.022145124294331513,0.4010000000000003,0.9903271327637173,6.3677301583989935e-145,Mammals
59,0.0321235042287275,0.1370000000000001,0.9917275311757602,2.4644665954663997e-126,Mammals
60,0.033203591986891504,0.08000000000000006,0.9901650850127476,5.209338428941468e-129,Mammals
61,0.034402515997559724,0.11600000000000009,0.994933303133934,1.2919231936629917e-19,Mammals
62,0.02680605288007004,0.16100000000000012,0.9890420201567606,3.769878483904389e-5,Mammals
63,0.02967016333262376,0.2750000000000002,0.6590612343800644,3.297459807828016e-11,Mammals
64,0.021761939386435357,0.35600000000000026,0.8304507922309543,1.8837813954879212e-28,Mammals
65,0.04366058054802064,0.047000000000000035,0.9887883223440828,1.644479135800179e-172,Mammals
66,0.0141176424151078,0.6070000000000004,0.09414801294501575,7.326619546738301e-4,Mammals
67,0.03239771095324611,0.1430000000000001,0.9903057274681398,1.7971189291099678e-105,Mammals
68,0.011551143839258949,0.7570000000000006,0.7926308399200164,1.626248416267299e-23,Mammals
69,0.024650525962176845,0.2590000000000002,0.929214349304036,5.1664458859068154e-33,Mammals
70,0.023204399846527057,0.36400000000000027,0.7353957847795421,4.8595577684863985e-18,Mammals
71,0.02967016333262376,0.25400000000000017,0.6590612343800644,3.297459807828016e-11,Mammals
72,0.02294544453804184,0.35500000000000026,0.7376443754489886,4.799749378748676e-10,Mammals
73,0.03286700317666331,0.11300000000000009,0.9922192596294046,3.202003180988886e-47,Mammals
74,0.018496825047826407,0.5160000000000003,0.18475478667909426,2.1639799352296283e-4,Mammals
75,0.022493496538904333,0.33500000000000024,0.138467737078095,5.000586229297232e-4,Mammals
76,0.03519684136238963,0.1400000000000001,0.9885898095605925,1.222238357375619e-54,Mammals
77,0.03862090327403128,0.05100000000000004,0.9898825952942143,5.006878044175629e-86,Mammals
78,0.027981770644648574,0.2480000000000002,0.990018227864997,1.1700591441471197e-53,Mammals
79,0.015950018447813807,0.46500000000000036,0.959607318262973,1.9197202137728575e-40,Mammals
80,0.06474274403282254,0.016000000000000007,0.988216377033857,4.44144071441312e-181,Mammals
81,0.04090306436993623,0.10200000000000008,0.9935428647030468,2.9021725758967544e-83,Mammals
82,0.01590862183927539,0.5010000000000003,0.8660613965734031,2.737335015401163e-28,Mammals
83,0.04052124092163179,0.07400000000000005,0.9905641839450982,1.958271227355844e-105,Mammals
84,0.0253179205000311,0.2720000000000002,0.04851286910145898,0.0030701448467943646,Mammals
85,0.046181994429848085,0.07000000000000005,0.9922714125599343,1.0501395499068855e-123,Mammals
86,0.06120289130358009,0.02000000000000001,0.9870139194016808,7.474487357363627e-174,Mammals
87,0.027160800526525915,0.33300000000000024,0.9588790109031023,1.3595052227801096e-26,Mammals
88,0.0143474459404266,0.5780000000000004,0.8225637872469675,1.1058010588173724e-17,Mammals
89,0.0046689478628761175,0.9130000000000007,0.085601937113353,0.0015370555243764924,Mammals
90,0.024079370558884653,0.4170000000000003,0.8457969369603631,4.883150571416087e-21,Mammals
91,0.005255148893974855,0.8840000000000007,0.7862257169118522,9.197032441469941e-33,Mammals
92,0.007657902776372208,0.8400000000000006,0.07490948581494244,9.994401778208387e-4,Mammals
93,0.0313047032919124,0.17000000000000012,0.9925489936195477,1.833754367404819e-100,Mammals
94,0.04855830829517031,0.05600000000000004,0.9891214708819013,7.795426780499546e-133,Mammals
95,0.018982740368463983,0.44600000000000034,0.9868371721765453,4.8238564585017116e-28,Mammals
96,0.02970223803101883,0.23300000000000018,0.9905516815784179,1.288502238015405e-52,Mammals
97,0.044835111740912134,0.08400000000000006,0.9921255585097017,1.3698060048849556e-89,Mammals
