term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
Beta,-8.096087333718926e-4,0.01015181744653228,-0.07975012726892988,0.9364471258257434,-6.933953294847182e-4,0.6240925516933493,0.5169698207171409,0.714093338599328,group,low,w.marginality
Beta,5.802835279746215e-4,0.01115012786769479,0.05204276891351837,0.9585018683230064,-6.959453351510059e-4,0.6243966535039176,0.5173638442456074,0.7143155843340768,group,int,w.marginality
Beta,0.00207780666322966,0.01259621369346704,0.16495485975339583,0.8690027773658033,-6.788356057612587e-4,0.6245691257413344,0.517604811109942,0.7144317932479364,group,high,w.marginality
Beta,-0.01814563484416325,0.00978887068955183,-1.853700536010862,0.06398740347865894,0.00169600687282962,0.6345394297350575,0.5307156739157649,0.7212057802464317,group,low,w.marginality
Beta,-0.01931062194609797,0.0106710569835982,-1.8096259794862957,0.07056324994912777,0.00158378206653899,0.6346602379987933,0.5308711250435336,0.7212956705252682,group,int,w.marginality
Beta,-0.02070868012385035,0.01197502410798725,-1.729322624915453,0.08396672263353455,0.00138619069025466,0.6348402642256264,0.5310880227197762,0.7214388525780132,group,high,w.marginality
Beta,-0.02294614024188831,0.00982197136914292,-2.3362051648793005,0.01961781653524585,0.00309905122228029,0.6449381035008067,0.5397992522722337,0.7325995738308938,group,low,w.marginality
Beta,-0.02442748528104921,0.01081362734928487,-2.258953863678746,0.02403601241051678,0.00285297570606368,0.6457002938895139,0.5407468966640492,0.7331796175338501,group,int,w.marginality
Beta,-0.02627901275987901,0.01226998811283558,-2.1417309061928624,0.03238332584712156,0.00249516115992181,0.646610889965635,0.541872204451734,0.7338796257844306,group,high,w.marginality
Beta,-0.01814563484416325,0.00978887068955183,-1.853700536010862,0.06398740347865894,0.00169600687282962,0.6345394297350575,0.5307156739157649,0.7212057802464317,group,low,w.marginality
Beta,-0.01931062194609797,0.0106710569835982,-1.8096259794862957,0.07056324994912777,0.00158378206653899,0.6346602379987933,0.5308711250435336,0.7212956705252682,group,int,w.marginality
Beta,-0.02070868012385035,0.01197502410798725,-1.729322624915453,0.08396672263353455,0.00138619069025466,0.6348402642256264,0.5310880227197762,0.7214388525780132,group,high,w.marginality
Beta,-0.00806328311652557,0.00981096401271365,-0.8218645085311364,0.4112907334292881,-2.2636833675685676e-4,0.7253828581974799,0.6323177454907939,0.7973112289968383,group,low,w.marginality
Beta,-0.00679522189164628,0.01070667570215994,-0.6346714966135971,0.5257439988061279,-4.16625451053582e-4,0.7259779962798755,0.6330735774266911,0.7977594472142414,group,int,w.marginality
Beta,-0.00495616502257307,0.01206609231676554,-0.4107514589198525,0.6813162002596034,-5.800316663867994e-4,0.7266155244142982,0.6338867554569351,0.7982399825357441,group,high,w.marginality
Beta,-0.02445840269985015,0.00976471501199777,-2.504773838232703,0.0123632668105218,0.00366427266560104,0.6036829670351233,0.49503635228146503,0.6964368947005435,group,low,w.marginality
