term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
Beta,-0.01836855885759492,0.02579138427959104,-0.7121974787576691,0.4764584322273242,-3.4375463379016205e-4,0.3544186195049622,0.2209370285387917,0.49153629162684903,group,low,w.specialization
Beta,-0.01482979135852332,0.02841844858169619,-0.521836767967514,0.6018646331994009,-5.077097915639387e-4,0.3551797731504933,0.22169715773809123,0.4922160678360979,group,int,w.specialization
Beta,-0.01157506712884525,0.03220876111375095,-0.3593763537804467,0.7193665096503206,-6.076553781041875e-4,0.35572503531919625,0.22226772289234736,0.4926864851110722,group,high,w.specialization
Beta,-0.03570057539636438,0.02486886965337518,-1.4355527972908544,0.1513478677492861,7.392103700844552e-4,0.3561269571810683,0.2262177233378866,0.490180537372221,group,low,w.specialization
Beta,-0.03876577935723018,0.02718460845543311,-1.4260194117117204,0.15408054082838807,7.20214085588989e-4,0.35652738525211236,0.2266026892208933,0.4905391746288228,group,int,w.specialization
Beta,-0.0441220844050345,0.03058595364470722,-1.442560363412754,0.14936288482766535,7.532539395699769e-4,0.3569232224843406,0.2269860165492864,0.49089215944337605,group,high,w.specialization
Beta,-0.02925837695280953,0.02490704092778473,-1.174703050339903,0.24030870129113335,2.6487212297077596e-4,0.3524717949294485,0.2276461500672234,0.4814529693766266,group,low,w.specialization
Beta,-0.02825835009845881,0.02751233302704162,-1.0271157328127694,0.30453931088781694,3.832958280222484e-5,0.35298530877891265,0.22819700488572903,0.4818913597463619,group,int,w.specialization
Beta,-0.02726296835082686,0.03131257830041756,-0.870671462734939,0.3840793932572122,-1.687392100843256e-4,0.3534498630646592,0.22871846579088323,0.4822707797953189,group,high,w.specialization
Beta,-0.03570057539636438,0.02486886965337518,-1.4355527972908544,0.1513478677492861,7.392103700844552e-4,0.3561269571810683,0.2262177233378866,0.490180537372221,group,low,w.specialization
Beta,-0.03876577935723018,0.02718460845543311,-1.4260194117117204,0.15408054082838807,7.20214085588989e-4,0.35652738525211236,0.2266026892208933,0.4905391746288228,group,int,w.specialization
Beta,-0.0441220844050345,0.03058595364470722,-1.442560363412754,0.14936288482766535,7.532539395699769e-4,0.3569232224843406,0.2269860165492864,0.49089215944337605,group,high,w.specialization
Beta,-0.05939905221090173,0.02497964895850467,-2.3778977963050396,0.01754216084343363,0.00323524394487664,0.3984876411505716,0.2644313862094988,0.5293406335647672,group,low,w.specialization
Beta,-0.0614481324125668,0.02737547557579315,-2.244641640742947,0.02494320091788782,0.00280828109329961,0.3992363603069152,0.26509067889264054,0.5300655015208687,group,int,w.specialization
Beta,-0.06479894714592901,0.03098056833612431,-2.091599690583191,0.03665001803947088,0.00234788399716691,0.39987755736368685,0.26565637553980137,0.5306855494199917,group,high,w.specialization
Beta,-0.04843351814045683,0.02479115488312538,-1.953661229934234,0.05093562736642054,0.00196043936612697,0.31775006628407,0.1944607127680478,0.4512670650429813,group,low,w.specialization
Beta,-0.05077965119945221,0.0273076917404963,-1.859536561420453,0.06315593364212546,0.00171106738592381,0.31889464762288944,0.19548656718729343,0.45233749357588093,group,int,w.specialization
Beta,-0.05447658482556752,0.03092870619395444,-1.76135996391003,0.07839073001568786,0.00146395475606987,0.31986827920912003,0.19633940860102927,0.4532590696519969,group,high,w.specialization
Beta,-0.05267400340727805,0.02499115739686585,-2.1077056404712136,0.03522976243871856,0.00239482501116973,0.3504125243075725,0.22600004037371335,0.4791283896231496,group,low,w.specialization
Beta,-0.05501100635054509,0.02730067941287874,-2.015005030409403,0.04409057316227782,0.00212951773082897,0.35114152981346175,0.2267045617177704,0.479810773637925,group,int,w.specialization
Beta,-0.06011331415479108,0.03069963921791249,-1.9581114204012016,0.05041072693360071,0.00197253123154165,0.35185138874289207,0.2274031370331715,0.4804646493691927,group,high,w.specialization
Beta,-0.06661881167869071,0.0244830635925486,-2.721016159879848,0.0065869159773868,0.00444592576682865,0.3619754601543501,0.23155705883976788,0.49407855989684113,group,low,w.specialization
Beta,-0.07002447218962951,0.02677594729906226,-2.615200553224942,0.00901110030291585,0.00405550399916189,0.36356496860508114,0.2329731592664308,0.4955788948361789,group,int,w.specialization
Beta,-0.07647549215523777,0.03010575289170953,-2.540228521449715,0.01118282371797985,0.00378807911530387,0.36499411829463535,0.23425859205356497,0.4968992571962571,group,high,w.specialization
Beta,-0.02759015622243271,0.02541098266852738,-1.0857571539964226,0.27776905934640217,1.24718472269815e-4,0.3546492252116986,0.22771900456384583,0.4851996667996232,group,low,w.specialization
Beta,-0.02832355191752218,0.02780781426962855,-1.0185465007387118,0.30859024160997395,2.6105995004732166e-5,0.35516386997803967,0.22825712280358143,0.4856371159579148,group,int,w.specialization
Beta,-0.02935273188903807,0.03132824732649329,-0.936941399342676,0.3489465768812252,-8.518216068244433e-5,0.35572567877978806,0.22884615849904855,0.48611418327016065,group,high,w.specialization
Beta,-0.04033309921054331,0.02646553504947975,-1.523985785102658,0.12773290826046124,9.214184568912928e-4,0.40545356232810825,0.2675585777510369,0.5382831975482006,group,low,w.specialization
Beta,-0.04356046779477045,0.02897349920449728,-1.5034589880675844,0.13294106741145773,8.781604637882743e-4,0.4060203764946233,0.2681159024355387,0.5387769627479602,group,int,w.specialization
Beta,-0.049355313912959053,0.03272148880674952,-1.5083456075133856,0.1316865249480701,8.88405620606531e-4,0.4064695991878577,0.26856679032685055,0.5391633410326631,group,high,w.specialization
Beta,-0.04417811197269993,0.02469894035391184,-1.7886642641210706,0.0738800756390523,0.0015313472296984,0.3154454813895951,0.1972606193081439,0.4401564412161226,group,low,w.specialization
