term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
Beta,-0.10271206122141976,0.02094744192134068,-4.9033224012321766,1.012933349198164e-6,0.01061359684180118,0.3033220893736815,0.19396434112920205,0.41568247621807536,group,low,w.specialization
Beta,-0.11292870186260344,0.02359130992730326,-4.786877125966883,1.8094106752908343e-6,0.01009910562069459,0.3058796779024819,0.1969404733997739,0.4176711207792801,group,int,w.specialization
Beta,-0.12428427264447016,0.02710333886823102,-4.585570554561786,4.787971889186338e-6,0.0092376400692404,0.30912254825251884,0.20029856851020997,0.42050888629816624,group,high,w.specialization
Beta,-0.10027698402421376,0.02129441054881144,-4.70907536014472,2.647388144927376e-6,0.00976195416831621,0.2697681994863491,0.1681739899994439,0.37825093987705816,group,low,w.specialization
Beta,-0.11168614006053192,0.02414044978868793,-4.626514461750725,3.940269612812131e-6,0.00940997622188256,0.2716845538913429,0.17039972723726296,0.37974114403984055,group,int,w.specialization
Beta,-0.12446772444134813,0.02798332099236598,-4.447925407970828,9.11309753615086e-6,0.00866908749757022,0.27458676300775225,0.1733665146306863,0.38232808297673254,group,high,w.specialization
Beta,-0.09927260856010728,0.02130103096533545,-4.66046027169577,3.3484929300442445e-6,0.00955397238717987,0.30858844693209186,0.19281942090865103,0.42505220952422834,group,low,w.specialization
Beta,-0.10914873121903967,0.02402759889907427,-4.542639973203686,5.863459714650077e-6,0.00905852354801115,0.3112576109138555,0.19609274081086592,0.4271154898646971,group,int,w.specialization
Beta,-0.12174685107105317,0.02769234915944185,-4.396407483167347,1.1542738918901564e-5,0.00846058186217532,0.31412286472863205,0.19945684023424748,0.4294321701127901,group,high,w.specialization
Beta,-0.10512019443302298,0.02080003145426194,-5.053847859036952,4.696179274343848e-7,0.01129616145807279,0.27402786120080597,0.17564283766326508,0.3772999546093413,group,low,w.specialization
Beta,-0.1154138040511438,0.02344325317181696,-4.923113836005153,9.166664578508232e-7,0.01070221689702802,0.27608466453231956,0.1778292227941799,0.37908751487561426,group,int,w.specialization
Beta,-0.12783201097142624,0.02686950513702054,-4.757512664247045,2.090290114553639e-6,0.00997123361860252,0.2780302723311979,0.17978348303740835,0.38087834223875966,group,high,w.specialization
Beta,-0.1188229470287964,0.02087992144711968,-5.69077557737592,1.4377575352497729e-8,0.01440081845476586,0.27539051221122396,0.17331027997296006,0.3826601882802638,group,low,w.specialization
Beta,-0.1321897596075065,0.02353435311650935,-5.616885195572907,2.196542547849845e-8,0.01402281688451117,0.2765285755240106,0.17475814836107048,0.38350231835813703,group,int,w.specialization
Beta,-0.1487099318977528,0.0270325863868345,-5.501135916842125,4.22307264713595e-8,0.01344004061260075,0.27802882642293314,0.17648149875481114,0.3847444352442181,group,high,w.specialization
Beta,-0.11312134981401936,0.02085880085986227,-5.423195253361573,6.51234921544841e-8,0.0130540813043702,0.2455384218067474,0.15000621390834878,0.3485914552554547,group,low,w.specialization
Beta,-0.1256389805006255,0.02356682129533105,-5.331180600309321,1.078085527517203e-7,0.01260513733182878,0.2472998114309453,0.15216942216260929,0.34993140372403425,group,int,w.specialization
Beta,-0.1400803787664794,0.02715129626878858,-5.159251970135473,2.7071770603015466e-7,0.01178582542799347,0.24961080620675136,0.15469199893246696,0.3519517971036592,group,high,w.specialization
Beta,-0.12368612605862576,0.02097033861630021,-5.898146344784566,4.259722352628614e-9,0.01548643969374904,0.2494734603732892,0.14944083343230458,0.35722480773676607,group,low,w.specialization
Beta,-0.13845777824642574,0.02369076120764774,-5.844378618012891,5.861736873669088e-9,0.01520145732622147,0.2518919087776414,0.15231742119360267,0.3590345966349021,group,int,w.specialization
Beta,-0.15552044504679188,0.02726684993881202,-5.703645466776925,1.334758392701474e-8,0.01446713230558058,0.25481494007758837,0.15545571109986706,0.3615005201824948,group,high,w.specialization
Beta,-0.10362326249213968,0.02076568753906779,-4.9901195083084415,6.519315070008247e-7,0.01100477852628888,0.24180127072009935,0.1408690386605348,0.3513872855560198,group,low,w.specialization
