term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,variable
(Intercept),1.1436391150526992,0.24810393079950857,4.609516307812421,4.488386530887567e-6,0.00692944080084332,0.7026270483581614,0.5825344509933472,0.793402235989917,Mammals,low,w.marginality
log(low.age + 1),-0.0514360171224958,0.0171353402797996,-3.001750550768598,0.00274239952599231,0.00692944080084332,0.7026270483581614,0.5825344509933472,0.793402235989917,Mammals,low,w.marginality
(Intercept),1.1335661010418947,0.24905467053727937,4.551474977748786,5.8945565117873855e-6,0.0058658167325504,0.7045528289940514,0.5847668820077646,0.7948781168176187,Mammals,int,w.marginality
log(int.age + 1),-0.05461788725449688,0.01958940586534975,-2.788133934735939,0.00538885532513866,0.0058658167325504,0.7045528289940514,0.5847668820077646,0.7948781168176187,Mammals,int,w.marginality
(Intercept),1.129144779270837,0.24982173542966715,4.519801999328946,6.830929732082325e-6,0.00505388690273119,0.7058399196093803,0.5862051543716709,0.7958935730132176,Mammals,high,w.marginality
log(high.age + 1),-0.06613600006447103,0.02530376788538916,-2.6136818976536333,0.00907450982368018,0.00505388690273119,0.7058399196093803,0.5862051543716709,0.7958935730132176,Mammals,high,w.marginality
(Intercept),1.7631786901198705,0.5160020138732887,3.416999629293778,6.553467079886133e-4,0.00137117985859401,0.676133788005921,0.5633863394919516,0.7667213450876835,Mammals,low,w.specialization
log(low.age + 1),-0.06015159587877812,0.03747580530920684,-1.6050781399486145,0.10875188252105604,0.00137117985859401,0.676133788005921,0.5633863394919516,0.7667213450876835,Mammals,low,w.specialization
(Intercept),1.751676363642786,0.5165745164656613,3.3909461419574822,7.202382975137755e-4,0.00105941211345381,0.6769566956459765,0.5644052145268491,0.76733680673229,Mammals,int,w.specialization
log(int.age + 1),-0.06382153961653814,0.04285840046445011,-1.489125560564874,0.13672920221281415,0.00105941211345381,0.6769566956459765,0.5644052145268491,0.76733680673229,Mammals,int,w.specialization
(Intercept),1.749634272675534,0.5169552975379518,3.384498197442471,7.371962120670261e-4,9.4935160729908e-4,0.6772708170186172,0.5647865103891476,0.7675766595631388,Mammals,high,w.specialization
log(high.age + 1),-0.08009193050145157,0.0553889376654591,-1.445991453838578,0.14845277948277635,9.4935160729908e-4,0.6772708170186172,0.5647865103891476,0.7675766595631388,Mammals,high,w.specialization
(Intercept),1.1239314741387154,0.2602746820951036,4.318251260904563,1.708619682050383e-5,0.00704319176401365,0.7048454757387664,0.5890951317382275,0.793014092944309,Mammals,low,w.marginality
log(low.age + 1),-0.04897403764446973,0.0161965703295437,-3.02372889124172,0.00255229294947634,0.00704319176401365,0.7048454757387664,0.5890951317382275,0.793014092944309,Mammals,low,w.marginality
(Intercept),1.1208113824343795,0.2607802345979788,4.297915385198701,1.8703706164302503e-5,0.0067424259726954,0.7058092191897569,0.5903068666969041,0.7937122382048488,Mammals,int,w.marginality
log(int.age + 1),-0.05507191015147711,0.01857228606095891,-2.965273632482144,0.00308669548505857,0.0067424259726954,0.7058092191897569,0.5903068666969041,0.7937122382048488,Mammals,int,w.marginality
(Intercept),1.122026247998389,0.26109922437319294,4.297317430536141,1.8753410049310304e-5,0.00656705684666692,0.7062402302495878,0.5908355490739601,0.7940266422205734,Mammals,high,w.marginality
log(high.age + 1),-0.07039411155093837,0.02401981431725316,-2.930668431536337,0.00344935596553974,0.00656705684666692,0.7062402302495878,0.5908355490739601,0.7940266422205734,Mammals,high,w.marginality
(Intercept),1.762685536229273,0.5560652151625608,3.1699259154593356,0.00156513592161733,0.00339339485190925,0.694091534927351,0.5894643553271712,0.7777024838572664,Mammals,low,w.specialization
log(low.age + 1),-0.07827322016053685,0.03532823327442412,-2.2155996183710314,0.02691472275307527,0.00339339485190925,0.694091534927351,0.5894643553271712,0.7777024838572664,Mammals,low,w.specialization
(Intercept),1.762415569423405,0.555746393257731,3.1712586726695555,0.00155803514628338,0.00357208122743022,0.6939509151582335,0.5892761845139917,0.777602885974679,Mammals,int,w.specialization
log(int.age + 1),-0.09162095601610457,0.04050912833943067,-2.261736052388044,0.02390029773578428,0.00357208122743022,0.6939509151582335,0.5892761845139917,0.777602885974679,Mammals,int,w.specialization
(Intercept),1.7729487847852343,0.5544595205532918,3.197616271456606,0.00142356753974026,0.00410442863118941,0.6928094617609519,0.5878156360071023,0.7767704325823218,Mammals,high,w.specialization
log(high.age + 1),-0.1254134693458578,0.05238627079792034,-2.394014069633614,0.01682496013888745,0.00410442863118941,0.6928094617609519,0.5878156360071023,0.7767704325823218,Mammals,high,w.specialization
(Intercept),1.121591285667232,0.24168297519433635,4.640754214339529,3.871135787925084e-6,0.01099778874800583,0.6898551475753167,0.5682765037134611,0.7825015664406875,Mammals,low,w.marginality
log(low.age + 1),-0.06272151023842149,0.01690498809257709,-3.710236877715531,2.169875178847924e-4,0.01099778874800583,0.6898551475753167,0.5682765037134611,0.7825015664406875,Mammals,low,w.marginality
(Intercept),1.118259503751025,0.24240017896734367,4.613278375102511,4.409329964927267e-6,0.0106294329168478,0.6913563755613368,0.5703242671282746,0.7835152064985317,Mammals,int,w.marginality
