ext,mean_B,median_B,CI_lower_B,CI_upper_B,mean_p,median_p,CI_lower_p,CI_upper_p,prop_significant,mean_R,median_R,CI_lower_R,CI_upper_R,mean_lambda,median_lambda,CI_lower_lambda,CI_upper_lambda,class,variable
low,-0.08062322876454982,-0.08096657798313237,-0.1294885706095943,-0.031124339861888943,0.07799348441085971,0.02755500569829472,3.3271870317549415e-4,0.4070598890540695,0.648936170212766,0.003960038665607373,0.0033585422460212597,-2.71893950709911e-4,0.01031189385731778,0.6852181741139438,0.6849210954201449,0.5765322540967972,0.7714055083914727,Mammals,specialization
int,-0.0902080773936981,-0.09153981575532405,-0.1451874784336862,-0.029143192861027428,0.08823086501258913,0.02969832378330128,4.804272001805665e-4,0.5012354467843182,0.648936170212766,0.0038085833528191423,0.003246648861669205,-4.7220077929877426e-4,0.009713635607933938,0.685639718684849,0.6857927431339372,0.5770658356935648,0.7717201468898373,Mammals,specialization
high,-0.1152965464259576,-0.11695847020203587,-0.18309487303082045,-0.027605548507098412,0.09465934485667137,0.02655332149542277,4.345501044652589e-4,0.6181017597053886,0.6276595744680851,0.003813823566771941,0.00341707599058314,-6.521651102894087e-4,0.009878861416638924,0.6857567752749254,0.6852591891009194,0.5772458719873838,0.7717982498857926,Mammals,specialization
low,-0.11019780473074671,-0.10910185885109332,-0.12369683719678053,-0.09786018051430809,9.241858323405516e-7,2.6232011685056733e-7,3.825357808295848e-9,4.556141864270303e-6,1,0.012041828270530765,0.011814324390439643,0.009286507070844776,0.015582472433006804,0.26748921806778503,0.26978997539348326,0.16375346292315865,0.3775514351078691,Birds,specialization
int,-0.12204548525836649,-0.12131395979923204,-0.13845777824642574,-0.10777916267094613,1.6805801137886879e-6,4.596935657685819e-7,5.861736873669088e-9,7.627440088142584e-6,1,0.01151921798461257,0.011316016242334189,0.008832279896883947,0.01520145732622147,0.2700620152195958,0.2717524590057073,0.1666399732712459,0.37965330444544365,Birds,specialization
high,-0.13612272328152886,-0.1359014090802933,-0.15581712923524382,-0.11851179757562368,4.360804972169952e-6,1.0079562583475976e-6,1.334758392701474e-8,2.2712190966705948e-5,1,0.010732048643828087,0.010618096357060906,0.007867391337589161,0.01446713230558058,0.27302264792374836,0.2744696253270874,0.1697339517375606,0.3822558634970196,Birds,specialization
low,-0.05825720102216615,-0.05756818531476894,-0.09983996486914828,-0.017871833874771696,0.09010525669255698,0.025626698275726275,1.0927687444693412e-4,0.49138899683190795,0.62,0.0025434684002570225,0.0021811267960268202,-2.879313945790318e-4,0.007637514021016444,0.35623453345664957,0.3536953198316529,0.2255167006294428,0.4836547050915031,Reptiles,specialization
int,-0.0609290153768548,-0.058922273361597846,-0.11136494148542694,-0.014471615704705185,0.11423653048989857,0.040994522142371315,1.7636878680493684e-4,0.617017740427269,0.54,0.002287388179902535,0.001740645173619105,-4.093131979786345e-4,0.00720246905548255,0.3575782250472847,0.35590600181040766,0.22692376399616362,0.4847686794876715,Reptiles,specialization
high,-0.06539870299175383,-0.0628669919598391,-0.11998018399228627,-0.010764724619954206,0.13901185455835877,0.05456959655994964,3.0870356707029536e-4,0.7406594706682934,0.48,0.002072408903973818,0.00147864756737339,-0.00048693202211711677,0.006577600908700722,0.35864300678505157,0.3579017099361037,0.22809754797377815,0.4856231842824517,Reptiles,specialization
low,-0.04688862141939987,-0.04586581634343858,-0.09291679462617285,-0.00152927331172827,0.16140843099583688,0.06883329526016801,1.9894878837653507e-4,0.9517505406967572,0.42,0.0023342436364402054,0.00161548682258858,-6.952790484878046e-4,0.008929634897126077,0.3549380458868932,0.3510835866421722,0.22519421179781424,0.4881807845210043,Amphibians,specialization
int,-0.048634685002958505,-0.04657283476630393,-0.0993031945701901,-0.00248643800950072,0.18451564703233458,0.08453447878987486,2.675278994886066e-4,0.9187403317555026,0.41,0.0020802248630437024,0.00137863199517635,-6.904418791319705e-4,0.008546781874325081,0.3558478276836013,0.3517415312129105,0.22602417541055733,0.48904254042684275,Amphibians,specialization
high,-0.052240107292334685,-0.049772264080845154,-0.10992688192279099,-0.00580896485831738,0.20523191779826136,0.10003832791565126,3.343809716207069e-4,0.8179952406942297,0.38,0.0018750388775932228,0.0011949436566671902,-6.591593515580544e-4,0.008252011405283142,0.3566954730655937,0.35236207825636257,0.22680575631980784,0.4898393526496316,Amphibians,specialization
