"dataset","column_name","description","units","data_type","notes"
"amphibians_marginality.csv","term","Regression model term (e.g., intercept, slope)","categorical","character",NA
"amphibians_marginality.csv","Estimate","Regression coefficient estimate","change in response per unit predictor","numeric",NA
"amphibians_marginality.csv","Std..Error","Standard error of estimate","same as estimate","numeric",NA
"amphibians_marginality.csv","t.value","t-statistic","dimensionless","numeric",NA
"amphibians_marginality.csv","p_value","P-value","probability (0–1)","numeric",NA
"amphibians_marginality.csv","adj.r.squared","Adjusted R-squared","proportion (0–1)","numeric",NA
"amphibians_marginality.csv","lambda","Pagel's lambda (phylogenetic signal)","proportion (0–1)","numeric",NA
"amphibians_marginality.csv","lam_low","Lower CI of lambda","proportion (0–1)","numeric",NA
"amphibians_marginality.csv","lam_up","Upper CI of lambda","proportion (0–1)","numeric",NA
"amphibians_marginality.csv","class","Taxonomic class","none","character",NA
"amphibians_marginality.csv","ext","Extinction scenario","categorical (low, intermediate, high)","character",NA
"amphibians_marginality.csv","biome","Biome classification","categorical","character",NA
"amphibians_specialization.csv","term","Regression model term (e.g., intercept, slope)","categorical","character",NA
"amphibians_specialization.csv","Estimate","Regression coefficient estimate","change in response per unit predictor","numeric",NA
"amphibians_specialization.csv","Std..Error","Standard error of estimate","same as estimate","numeric",NA
"amphibians_specialization.csv","t.value","t-statistic","dimensionless","numeric",NA
"amphibians_specialization.csv","p_value","P-value","probability (0–1)","numeric",NA
"amphibians_specialization.csv","adj.r.squared","Adjusted R-squared","proportion (0–1)","numeric",NA
"amphibians_specialization.csv","lambda","Pagel's lambda (phylogenetic signal)","proportion (0–1)","numeric",NA
"amphibians_specialization.csv","lam_low","Lower CI of lambda","proportion (0–1)","numeric",NA
"amphibians_specialization.csv","lam_up","Upper CI of lambda","proportion (0–1)","numeric",NA
"amphibians_specialization.csv","class","Taxonomic class","none","character",NA
"amphibians_specialization.csv","ext","Extinction scenario","categorical (low, intermediate, high)","character",NA
"amphibians_specialization.csv","biome","Biome classification","categorical","character",NA
"birds_marginality.csv","term","Regression model term (e.g., intercept, slope)","categorical","character",NA
"birds_marginality.csv","Estimate","Regression coefficient estimate","change in response per unit predictor","numeric",NA
"birds_marginality.csv","Std..Error","Standard error of estimate","same as estimate","numeric",NA
"birds_marginality.csv","t.value","t-statistic","dimensionless","numeric",NA
"birds_marginality.csv","p_value","P-value","probability (0–1)","numeric",NA
"birds_marginality.csv","adj.r.squared","Adjusted R-squared","proportion (0–1)","numeric",NA
"birds_marginality.csv","lambda","Pagel's lambda (phylogenetic signal)","proportion (0–1)","numeric",NA
"birds_marginality.csv","lam_low","Lower CI of lambda","proportion (0–1)","numeric",NA
"birds_marginality.csv","lam_up","Upper CI of lambda","proportion (0–1)","numeric",NA
"birds_marginality.csv","class","Taxonomic class","none","character",NA
"birds_marginality.csv","ext","Extinction scenario","categorical (low, intermediate, high)","character",NA
"birds_marginality.csv","biome","Biome classification","categorical","character",NA
"birds_specialization.csv","term","Regression model term (e.g., intercept, slope)","categorical","character",NA
"birds_specialization.csv","Estimate","Regression coefficient estimate","change in response per unit predictor","numeric",NA
"birds_specialization.csv","Std..Error","Standard error of estimate","same as estimate","numeric",NA
"birds_specialization.csv","t.value","t-statistic","dimensionless","numeric",NA
"birds_specialization.csv","p_value","P-value","probability (0–1)","numeric",NA
"birds_specialization.csv","adj.r.squared","Adjusted R-squared","proportion (0–1)","numeric",NA
"birds_specialization.csv","lambda","Pagel's lambda (phylogenetic signal)","proportion (0–1)","numeric",NA
"birds_specialization.csv","lam_low","Lower CI of lambda","proportion (0–1)","numeric",NA
"birds_specialization.csv","lam_up","Upper CI of lambda","proportion (0–1)","numeric",NA
"birds_specialization.csv","class","Taxonomic class","none","character",NA
"birds_specialization.csv","ext","Extinction scenario","categorical (low, intermediate, high)","character",NA
"birds_specialization.csv","biome","Biome classification","categorical","character",NA
"general_results.csv","term","Regression model term (e.g., intercept, slope)","categorical","character",NA
"general_results.csv","Estimate","Regression coefficient estimate","change in response per unit predictor","numeric",NA
"general_results.csv","Std..Error","Standard error of estimate","same as estimate","numeric",NA
"general_results.csv","t.value","t-statistic","dimensionless","numeric",NA
"general_results.csv","p_value","P-value","probability (0–1)","numeric",NA
"general_results.csv","adj.r.squared","Adjusted R-squared","proportion (0–1)","numeric",NA
"general_results.csv","lambda","Pagel's lambda (phylogenetic signal)","proportion (0–1)","numeric",NA
"general_results.csv","lam_low","Lower CI of lambda","proportion (0–1)","numeric",NA
"general_results.csv","lam_up","Upper CI of lambda","proportion (0–1)","numeric",NA
"general_results.csv","class","Taxonomic class","none","character",NA
"general_results.csv","ext","Extinction scenario","categorical (low, intermediate, high)","character",NA
"general_results.csv","variable","ENFA metric analyzed","categorical","character",NA
"mammals_marginality.csv","term","Regression model term (e.g., intercept, slope)","categorical","character",NA
"mammals_marginality.csv","Estimate","Regression coefficient estimate","change in response per unit predictor","numeric",NA
"mammals_marginality.csv","Std..Error","Standard error of estimate","same as estimate","numeric",NA
"mammals_marginality.csv","t.value","t-statistic","dimensionless","numeric",NA
"mammals_marginality.csv","p_value","P-value","probability (0–1)","numeric",NA
"mammals_marginality.csv","adj.r.squared","Adjusted R-squared","proportion (0–1)","numeric",NA
"mammals_marginality.csv","lambda","Pagel's lambda (phylogenetic signal)","proportion (0–1)","numeric",NA
"mammals_marginality.csv","lam_low","Lower CI of lambda","proportion (0–1)","numeric",NA
"mammals_marginality.csv","lam_up","Upper CI of lambda","proportion (0–1)","numeric",NA
"mammals_marginality.csv","class","Taxonomic class","none","character",NA
"mammals_marginality.csv","ext","Extinction scenario","categorical (low, intermediate, high)","character",NA
"mammals_marginality.csv","biome","Biome classification","categorical","character",NA
"mammals_specialization.csv","term","Regression model term (e.g., intercept, slope)","categorical","character",NA
"mammals_specialization.csv","Estimate","Regression coefficient estimate","change in response per unit predictor","numeric",NA
"mammals_specialization.csv","Std..Error","Standard error of estimate","same as estimate","numeric",NA
"mammals_specialization.csv","t.value","t-statistic","dimensionless","numeric",NA
"mammals_specialization.csv","p_value","P-value","probability (0–1)","numeric",NA
"mammals_specialization.csv","adj.r.squared","Adjusted R-squared","proportion (0–1)","numeric",NA
"mammals_specialization.csv","lambda","Pagel's lambda (phylogenetic signal)","proportion (0–1)","numeric",NA
"mammals_specialization.csv","lam_low","Lower CI of lambda","proportion (0–1)","numeric",NA
"mammals_specialization.csv","lam_up","Upper CI of lambda","proportion (0–1)","numeric",NA
"mammals_specialization.csv","class","Taxonomic class","none","character",NA
